"","start_week","week_num","year","age_group","n"
"1",2018-12-31,1,2019,"5-17",1
"2",2018-12-31,1,2019,"18-49",1
"3",2019-01-07,2,2019,"<1",5
"4",2019-01-07,2,2019,"1-4",8
"5",2019-01-07,2,2019,"5-17",9
"6",2019-01-07,2,2019,"18-49",1
"7",2019-01-07,2,2019,"50-64",1
"8",2019-01-07,2,2019,"65+",1
"9",2019-01-14,3,2019,"<1",4
"10",2019-01-14,3,2019,"1-4",6
"11",2019-01-14,3,2019,"5-17",9
"12",2019-01-14,3,2019,"18-49",1
"13",2019-01-14,3,2019,"50-64",1
"14",2019-01-14,3,2019,"65+",3
"15",2019-01-21,4,2019,"<1",4
"16",2019-01-21,4,2019,"1-4",11
"17",2019-01-21,4,2019,"5-17",7
"18",2019-01-21,4,2019,"18-49",2
"19",2019-01-21,4,2019,"50-64",1
"20",2019-01-21,4,2019,"65+",3
"21",2019-01-28,5,2019,"<1",6
"22",2019-01-28,5,2019,"1-4",7
"23",2019-01-28,5,2019,"5-17",6
"24",2019-01-28,5,2019,"18-49",1
"25",2019-01-28,5,2019,"50-64",1
"26",2019-01-28,5,2019,"65+",1
"27",2019-02-04,6,2019,"<1",3
"28",2019-02-04,6,2019,"1-4",10
"29",2019-02-04,6,2019,"5-17",12
"30",2019-02-04,6,2019,"18-49",4
"31",2019-02-11,7,2019,"<1",5
"32",2019-02-11,7,2019,"1-4",7
"33",2019-02-11,7,2019,"5-17",7
"34",2019-02-11,7,2019,"18-49",5
"35",2019-02-11,7,2019,"50-64",1
"36",2019-02-18,8,2019,"<1",17
"37",2019-02-18,8,2019,"1-4",23
"38",2019-02-18,8,2019,"5-17",16
"39",2019-02-18,8,2019,"18-49",7
"40",2019-02-18,8,2019,"50-64",1
"41",2019-02-18,8,2019,"65+",2
"42",2019-02-25,9,2019,"<1",18
"43",2019-02-25,9,2019,"1-4",21
"44",2019-02-25,9,2019,"5-17",34
"45",2019-02-25,9,2019,"18-49",14
"46",2019-02-25,9,2019,"50-64",3
"47",2019-02-25,9,2019,"65+",5
"48",2019-03-04,10,2019,"<1",45
"49",2019-03-04,10,2019,"1-4",38
"50",2019-03-04,10,2019,"5-17",33
"51",2019-03-04,10,2019,"18-49",10
"52",2019-03-04,10,2019,"50-64",3
"53",2019-03-04,10,2019,"65+",4
"54",2019-03-11,11,2019,"<1",50
"55",2019-03-11,11,2019,"1-4",39
"56",2019-03-11,11,2019,"5-17",49
"57",2019-03-11,11,2019,"18-49",21
"58",2019-03-11,11,2019,"50-64",5
"59",2019-03-11,11,2019,"65+",3
"60",2019-03-18,12,2019,"<1",44
"61",2019-03-18,12,2019,"1-4",71
"62",2019-03-18,12,2019,"5-17",65
"63",2019-03-18,12,2019,"18-49",21
"64",2019-03-18,12,2019,"50-64",3
"65",2019-03-18,12,2019,"65+",11
"66",2019-03-25,13,2019,"<1",81
"67",2019-03-25,13,2019,"1-4",50
"68",2019-03-25,13,2019,"5-17",68
"69",2019-03-25,13,2019,"18-49",14
"70",2019-03-25,13,2019,"50-64",1
"71",2019-03-25,13,2019,"65+",4
"72",2019-04-01,14,2019,"<1",73
"73",2019-04-01,14,2019,"1-4",67
"74",2019-04-01,14,2019,"5-17",81
"75",2019-04-01,14,2019,"18-49",29
"76",2019-04-01,14,2019,"65+",6
"77",2019-04-08,15,2019,"<1",93
"78",2019-04-08,15,2019,"1-4",82
"79",2019-04-08,15,2019,"5-17",110
"80",2019-04-08,15,2019,"18-49",35
"81",2019-04-08,15,2019,"50-64",10
"82",2019-04-08,15,2019,"65+",7
"83",2019-04-15,16,2019,"<1",57
"84",2019-04-15,16,2019,"1-4",75
"85",2019-04-15,16,2019,"5-17",83
"86",2019-04-15,16,2019,"18-49",32
"87",2019-04-15,16,2019,"50-64",3
"88",2019-04-15,16,2019,"65+",10
"89",2019-04-22,17,2019,"<1",78
"90",2019-04-22,17,2019,"1-4",99
"91",2019-04-22,17,2019,"5-17",102
"92",2019-04-22,17,2019,"18-49",34
"93",2019-04-22,17,2019,"50-64",6
"94",2019-04-22,17,2019,"65+",11
"95",2019-04-29,18,2019,"<1",74
"96",2019-04-29,18,2019,"1-4",73
"97",2019-04-29,18,2019,"5-17",104
"98",2019-04-29,18,2019,"18-49",27
"99",2019-04-29,18,2019,"50-64",7
"100",2019-04-29,18,2019,"65+",12
"101",2019-05-06,19,2019,"<1",88
"102",2019-05-06,19,2019,"1-4",87
"103",2019-05-06,19,2019,"5-17",90
"104",2019-05-06,19,2019,"18-49",24
"105",2019-05-06,19,2019,"50-64",7
"106",2019-05-06,19,2019,"65+",16
"107",2019-05-13,20,2019,"<1",91
"108",2019-05-13,20,2019,"1-4",90
"109",2019-05-13,20,2019,"5-17",70
"110",2019-05-13,20,2019,"18-49",30
"111",2019-05-13,20,2019,"50-64",8
"112",2019-05-13,20,2019,"65+",10
"113",2019-05-20,21,2019,"<1",77
"114",2019-05-20,21,2019,"1-4",70
"115",2019-05-20,21,2019,"5-17",73
"116",2019-05-20,21,2019,"18-49",27
"117",2019-05-20,21,2019,"50-64",4
"118",2019-05-20,21,2019,"65+",11
"119",2019-05-27,22,2019,"<1",65
"120",2019-05-27,22,2019,"1-4",73
"121",2019-05-27,22,2019,"5-17",67
"122",2019-05-27,22,2019,"18-49",28
"123",2019-05-27,22,2019,"50-64",11
"124",2019-05-27,22,2019,"65+",20
"125",2019-06-03,23,2019,"<1",59
"126",2019-06-03,23,2019,"1-4",45
"127",2019-06-03,23,2019,"5-17",57
"128",2019-06-03,23,2019,"18-49",20
"129",2019-06-03,23,2019,"50-64",12
"130",2019-06-03,23,2019,"65+",15
"131",2019-06-10,24,2019,"<1",54
"132",2019-06-10,24,2019,"1-4",45
"133",2019-06-10,24,2019,"5-17",59
"134",2019-06-10,24,2019,"18-49",13
"135",2019-06-10,24,2019,"50-64",5
"136",2019-06-10,24,2019,"65+",10
"137",2019-06-17,25,2019,"<1",40
"138",2019-06-17,25,2019,"1-4",38
"139",2019-06-17,25,2019,"5-17",35
"140",2019-06-17,25,2019,"18-49",16
"141",2019-06-17,25,2019,"50-64",4
"142",2019-06-17,25,2019,"65+",10
"143",2019-06-24,26,2019,"<1",39
"144",2019-06-24,26,2019,"1-4",35
"145",2019-06-24,26,2019,"5-17",31
"146",2019-06-24,26,2019,"18-49",14
"147",2019-06-24,26,2019,"50-64",5
"148",2019-06-24,26,2019,"65+",6
"149",2019-07-01,27,2019,"<1",27
"150",2019-07-01,27,2019,"1-4",18
"151",2019-07-01,27,2019,"5-17",30
"152",2019-07-01,27,2019,"18-49",7
"153",2019-07-01,27,2019,"50-64",6
"154",2019-07-01,27,2019,"65+",9
"155",2019-07-08,28,2019,"<1",22
"156",2019-07-08,28,2019,"1-4",21
"157",2019-07-08,28,2019,"5-17",16
"158",2019-07-08,28,2019,"18-49",4
"159",2019-07-08,28,2019,"50-64",4
"160",2019-07-08,28,2019,"65+",6
"161",2019-07-15,29,2019,"<1",14
"162",2019-07-15,29,2019,"1-4",22
"163",2019-07-15,29,2019,"5-17",15
"164",2019-07-15,29,2019,"65+",5
"165",2019-07-22,30,2019,"<1",9
"166",2019-07-22,30,2019,"1-4",20
"167",2019-07-22,30,2019,"5-17",12
"168",2019-07-22,30,2019,"18-49",3
"169",2019-07-22,30,2019,"50-64",1
"170",2019-07-22,30,2019,"65+",2
"171",2019-07-29,31,2019,"<1",6
"172",2019-07-29,31,2019,"1-4",8
"173",2019-07-29,31,2019,"5-17",6
"174",2019-07-29,31,2019,"18-49",2
"175",2019-07-29,31,2019,"50-64",1
"176",2019-08-05,32,2019,"<1",10
"177",2019-08-05,32,2019,"1-4",9
"178",2019-08-05,32,2019,"5-17",8
"179",2019-08-05,32,2019,"18-49",6
"180",2019-08-05,32,2019,"65+",2
"181",2019-08-12,33,2019,"<1",5
"182",2019-08-12,33,2019,"1-4",6
"183",2019-08-12,33,2019,"5-17",9
"184",2019-08-12,33,2019,"65+",4
"185",2019-08-19,34,2019,"<1",5
"186",2019-08-19,34,2019,"1-4",5
"187",2019-08-19,34,2019,"5-17",9
"188",2019-08-19,34,2019,"65+",1
"189",2019-08-26,35,2019,"<1",4
"190",2019-08-26,35,2019,"1-4",4
"191",2019-08-26,35,2019,"5-17",4
"192",2019-08-26,35,2019,"18-49",2
"193",2019-08-26,35,2019,"65+",2
"194",2019-09-02,36,2019,"<1",3
"195",2019-09-02,36,2019,"1-4",3
"196",2019-09-02,36,2019,"5-17",2
"197",2019-09-02,36,2019,"18-49",2
"198",2019-09-02,36,2019,"50-64",1
"199",2019-09-09,37,2019,"<1",2
"200",2019-09-09,37,2019,"1-4",1
"201",2019-09-09,37,2019,"5-17",2
"202",2019-09-09,37,2019,"65+",1
"203",2019-09-16,38,2019,"<1",1
"204",2019-09-16,38,2019,"1-4",3
"205",2019-09-16,38,2019,"5-17",2
"206",2019-09-16,38,2019,"18-49",1
"207",2019-09-23,39,2019,"5-17",1
"208",2019-09-23,39,2019,"65+",1
"209",2019-09-30,40,2019,"<1",1
"210",2019-09-30,40,2019,"1-4",1
"211",2019-09-30,40,2019,"5-17",2
"212",2019-10-07,41,2019,"<1",1
"213",2019-10-07,41,2019,"5-17",3
"214",2019-10-14,42,2019,"<1",2
"215",2019-10-14,42,2019,"1-4",1
"216",2019-10-14,42,2019,"5-17",2
"217",2019-10-14,42,2019,"50-64",1
"218",2019-10-21,43,2019,"1-4",1
"219",2019-10-21,43,2019,"5-17",1
"220",2019-10-28,44,2019,"<1",2
"221",2019-10-28,44,2019,"1-4",1
"222",2019-10-28,44,2019,"5-17",2
"223",2019-11-04,45,2019,"<1",2
"224",2019-11-04,45,2019,"1-4",2
"225",2019-11-04,45,2019,"5-17",4
"226",2019-11-11,46,2019,"1-4",1
"227",2019-11-11,46,2019,"5-17",2
"228",2019-11-18,47,2019,"<1",2
"229",2019-11-18,47,2019,"1-4",1
"230",2019-11-18,47,2019,"5-17",1
"231",2019-12-02,49,2019,"5-17",1
"232",2019-12-09,50,2019,"<1",1
"233",2019-12-09,50,2019,"5-17",3
"234",2019-12-09,50,2019,"50-64",1
"235",2019-12-16,51,2019,"<1",3
"236",2019-12-16,51,2019,"5-17",3
"237",2019-12-23,52,2019,"<1",1
"238",2019-12-23,52,2019,"1-4",1
"239",2019-12-23,52,2019,"5-17",3
"240",2019-12-30,1,2020,"<1",2
"241",2019-12-30,1,2020,"1-4",3
"242",2019-12-30,1,2020,"5-17",2
"243",2020-01-06,2,2020,"<1",2
"244",2020-01-06,2,2020,"1-4",1
"245",2020-01-06,2,2020,"5-17",1
"246",2020-01-13,3,2020,"<1",2
"247",2020-01-13,3,2020,"1-4",4
"248",2020-01-20,4,2020,"<1",1
"249",2020-01-20,4,2020,"1-4",1
"250",2020-01-20,4,2020,"65+",1
"251",2020-01-27,5,2020,"<1",1
"252",2020-01-27,5,2020,"1-4",2
"253",2020-02-03,6,2020,"<1",3
"254",2020-02-03,6,2020,"1-4",1
"255",2020-02-03,6,2020,"5-17",4
"256",2020-02-10,7,2020,"<1",2
"257",2020-02-10,7,2020,"1-4",3
"258",2020-02-10,7,2020,"5-17",1
"259",2020-02-10,7,2020,"50-64",1
"260",2020-02-17,8,2020,"<1",5
"261",2020-02-17,8,2020,"5-17",4
"262",2020-02-17,8,2020,"18-49",1
"263",2020-02-24,9,2020,"<1",9
"264",2020-02-24,9,2020,"1-4",5
"265",2020-02-24,9,2020,"5-17",13
"266",2020-02-24,9,2020,"18-49",1
"267",2020-02-24,9,2020,"65+",1
"268",2020-03-02,10,2020,"<1",6
"269",2020-03-02,10,2020,"1-4",9
"270",2020-03-02,10,2020,"5-17",12
"271",2020-03-02,10,2020,"65+",2
"272",2020-03-09,11,2020,"<1",16
"273",2020-03-09,11,2020,"1-4",15
"274",2020-03-09,11,2020,"5-17",15
"275",2020-03-09,11,2020,"18-49",2
"276",2020-03-09,11,2020,"50-64",1
"277",2020-03-16,12,2020,"<1",28
"278",2020-03-16,12,2020,"1-4",27
"279",2020-03-16,12,2020,"5-17",22
"280",2020-03-16,12,2020,"18-49",2
"281",2020-03-16,12,2020,"50-64",2
"282",2020-03-16,12,2020,"65+",7
"283",2020-03-23,13,2020,"<1",48
"284",2020-03-23,13,2020,"1-4",46
"285",2020-03-23,13,2020,"5-17",46
"286",2020-03-23,13,2020,"18-49",11
"287",2020-03-23,13,2020,"50-64",4
"288",2020-03-23,13,2020,"65+",4
"289",2020-03-30,14,2020,"<1",24
"290",2020-03-30,14,2020,"1-4",23
"291",2020-03-30,14,2020,"5-17",39
"292",2020-03-30,14,2020,"18-49",18
"293",2020-03-30,14,2020,"50-64",5
"294",2020-03-30,14,2020,"65+",7
"295",2020-04-06,15,2020,"<1",23
"296",2020-04-06,15,2020,"1-4",20
"297",2020-04-06,15,2020,"5-17",19
"298",2020-04-06,15,2020,"18-49",7
"299",2020-04-06,15,2020,"50-64",1
"300",2020-04-06,15,2020,"65+",6
"301",2020-04-13,16,2020,"<1",5
"302",2020-04-13,16,2020,"1-4",8
"303",2020-04-13,16,2020,"5-17",10
"304",2020-04-13,16,2020,"18-49",2
"305",2020-04-20,17,2020,"<1",2
"306",2020-04-20,17,2020,"1-4",10
"307",2020-04-20,17,2020,"5-17",4
"308",2020-04-20,17,2020,"50-64",1
"309",2020-04-20,17,2020,"65+",1
"310",2020-04-27,18,2020,"<1",2
"311",2020-04-27,18,2020,"1-4",2
"312",2020-04-27,18,2020,"5-17",2
"313",2020-04-27,18,2020,"18-49",1
"314",2020-05-04,19,2020,"<1",12
"315",2020-05-04,19,2020,"1-4",7
"316",2020-05-04,19,2020,"5-17",5
"317",2020-05-04,19,2020,"18-49",1
"318",2020-05-04,19,2020,"50-64",2
"319",2020-05-04,19,2020,"65+",2
"320",2020-05-11,20,2020,"<1",3
"321",2020-05-11,20,2020,"1-4",6
"322",2020-05-11,20,2020,"18-49",3
"323",2020-05-11,20,2020,"65+",1
"324",2020-05-18,21,2020,"<1",5
"325",2020-05-18,21,2020,"1-4",4
"326",2020-05-18,21,2020,"5-17",3
"327",2020-05-18,21,2020,"18-49",1
"328",2020-05-18,21,2020,"50-64",2
"329",2020-05-25,22,2020,"<1",3
"330",2020-05-25,22,2020,"1-4",2
"331",2020-05-25,22,2020,"5-17",1
"332",2020-05-25,22,2020,"18-49",2
"333",2020-05-25,22,2020,"50-64",4
"334",2020-05-25,22,2020,"65+",1
"335",2020-06-01,23,2020,"<1",2
"336",2020-06-01,23,2020,"1-4",3
"337",2020-06-01,23,2020,"5-17",5
"338",2020-06-01,23,2020,"18-49",1
"339",2020-06-01,23,2020,"50-64",1
"340",2020-06-01,23,2020,"65+",2
"341",2020-06-08,24,2020,"1-4",2
"342",2020-06-08,24,2020,"5-17",2
"343",2020-06-08,24,2020,"50-64",1
"344",2020-06-08,24,2020,"65+",1
"345",2020-06-15,25,2020,"<1",3
"346",2020-06-15,25,2020,"1-4",2
"347",2020-06-15,25,2020,"5-17",1
"348",2020-06-15,25,2020,"65+",1
"349",2020-06-22,26,2020,"<1",2
"350",2020-06-22,26,2020,"1-4",3
"351",2020-06-22,26,2020,"5-17",1
"352",2020-06-22,26,2020,"18-49",1
"353",2020-06-22,26,2020,"50-64",1
"354",2020-06-29,27,2020,"<1",2
"355",2020-06-29,27,2020,"1-4",3
"356",2020-06-29,27,2020,"65+",1
"357",2020-07-06,28,2020,"<1",3
"358",2020-07-06,28,2020,"1-4",1
"359",2020-07-06,28,2020,"5-17",3
"360",2020-07-06,28,2020,"18-49",4
"361",2020-07-06,28,2020,"65+",2
"362",2020-07-13,29,2020,"<1",2
"363",2020-07-13,29,2020,"1-4",3
"364",2020-07-13,29,2020,"5-17",2
"365",2020-07-13,29,2020,"18-49",1
"366",2020-07-13,29,2020,"65+",1
"367",2020-07-20,30,2020,"<1",2
"368",2020-07-20,30,2020,"1-4",3
"369",2020-07-20,30,2020,"5-17",2
"370",2020-07-20,30,2020,"18-49",2
"371",2020-07-20,30,2020,"50-64",1
"372",2020-07-27,31,2020,"<1",1
"373",2020-07-27,31,2020,"1-4",1
"374",2020-07-27,31,2020,"5-17",2
"375",2020-07-27,31,2020,"50-64",1
"376",2020-08-03,32,2020,"<1",1
"377",2020-08-03,32,2020,"1-4",3
"378",2020-08-03,32,2020,"65+",1
"379",2020-08-10,33,2020,"<1",1
"380",2020-08-10,33,2020,"1-4",1
"381",2020-08-10,33,2020,"5-17",2
"382",2020-08-10,33,2020,"18-49",2
"383",2020-08-17,34,2020,"<1",3
"384",2020-08-17,34,2020,"1-4",5
"385",2020-08-17,34,2020,"5-17",1
"386",2020-08-17,34,2020,"50-64",2
"387",2020-08-17,34,2020,"65+",4
"388",2020-08-24,35,2020,"<1",3
"389",2020-08-24,35,2020,"1-4",1
"390",2020-08-24,35,2020,"5-17",1
"391",2020-08-24,35,2020,"18-49",5
"392",2020-08-24,35,2020,"50-64",1
"393",2020-08-24,35,2020,"65+",1
"394",2020-08-31,36,2020,"<1",4
"395",2020-08-31,36,2020,"1-4",1
"396",2020-08-31,36,2020,"5-17",1
"397",2020-08-31,36,2020,"65+",3
"398",2020-09-07,37,2020,"<1",1
"399",2020-09-07,37,2020,"1-4",1
"400",2020-09-07,37,2020,"65+",1
"401",2020-09-14,38,2020,"<1",2
"402",2020-09-14,38,2020,"5-17",3
"403",2020-09-14,38,2020,"50-64",1
"404",2020-09-21,39,2020,"<1",2
"405",2020-09-21,39,2020,"1-4",2
"406",2020-09-21,39,2020,"5-17",1
"407",2020-09-28,40,2020,"<1",5
"408",2020-09-28,40,2020,"1-4",6
"409",2020-09-28,40,2020,"5-17",4
"410",2020-09-28,40,2020,"18-49",1
"411",2020-09-28,40,2020,"65+",2
"412",2020-10-05,41,2020,"<1",2
"413",2020-10-05,41,2020,"1-4",5
"414",2020-10-05,41,2020,"5-17",4
"415",2020-10-05,41,2020,"18-49",2
"416",2020-10-05,41,2020,"65+",1
"417",2020-10-12,42,2020,"<1",3
"418",2020-10-12,42,2020,"1-4",6
"419",2020-10-12,42,2020,"5-17",3
"420",2020-10-19,43,2020,"<1",4
"421",2020-10-19,43,2020,"1-4",3
"422",2020-10-19,43,2020,"5-17",9
"423",2020-10-19,43,2020,"65+",1
"424",2020-10-26,44,2020,"<1",1
"425",2020-10-26,44,2020,"1-4",5
"426",2020-10-26,44,2020,"5-17",6
"427",2020-10-26,44,2020,"65+",3
"428",2020-11-02,45,2020,"<1",13
"429",2020-11-02,45,2020,"1-4",4
"430",2020-11-02,45,2020,"5-17",6
"431",2020-11-02,45,2020,"18-49",1
"432",2020-11-02,45,2020,"50-64",1
"433",2020-11-02,45,2020,"65+",1
"434",2020-11-09,46,2020,"<1",8
"435",2020-11-09,46,2020,"1-4",15
"436",2020-11-09,46,2020,"5-17",13
"437",2020-11-09,46,2020,"50-64",1
"438",2020-11-16,47,2020,"<1",8
"439",2020-11-16,47,2020,"1-4",8
"440",2020-11-16,47,2020,"5-17",9
"441",2020-11-16,47,2020,"18-49",1
"442",2020-11-16,47,2020,"50-64",1
"443",2020-11-23,48,2020,"<1",11
"444",2020-11-23,48,2020,"1-4",8
"445",2020-11-23,48,2020,"5-17",8
"446",2020-11-23,48,2020,"65+",4
"447",2020-11-30,49,2020,"<1",9
"448",2020-11-30,49,2020,"1-4",7
"449",2020-11-30,49,2020,"5-17",7
"450",2020-11-30,49,2020,"18-49",1
"451",2020-11-30,49,2020,"65+",2
"452",2020-12-07,50,2020,"<1",10
"453",2020-12-07,50,2020,"1-4",14
"454",2020-12-07,50,2020,"5-17",6
"455",2020-12-07,50,2020,"18-49",1
"456",2020-12-07,50,2020,"50-64",2
"457",2020-12-07,50,2020,"65+",3
