Year,Week_num,Year_week,Season,Season_week
2017,1,2017_1_1,2016/17,33
2017,2,2017_2_1,2016/17,34
2017,3,2017_3_1,2016/17,35
2017,4,2017_4_1,2016/17,36
2017,5,2017_5_1,2016/17,37
2017,6,2017_6_1,2016/17,38
2017,7,2017_7_1,2016/17,39
2017,8,2017_8_1,2016/17,40
2017,9,2017_9_1,2016/17,41
2017,10,2017_10_1,2016/17,42
2017,11,2017_11_1,2016/17,43
2017,12,2017_12_1,2016/17,44
2017,13,2017_13_1,2016/17,45
2017,14,2017_14_1,2016/17,46
2017,15,2017_15_1,2016/17,47
2017,16,2017_16_1,2016/17,48
2017,17,2017_17_1,2016/17,49
2017,18,2017_18_1,2016/17,50
2017,19,2017_19_1,2016/17,51
2017,20,2017_20_1,2016/17,52
2017,21,2017_21_1,2017/18,1
2017,22,2017_22_1,2017/18,2
2017,23,2017_23_1,2017/18,3
2017,24,2017_24_1,2017/18,4
2017,25,2017_25_1,2017/18,5
2017,26,2017_26_1,2017/18,6
2017,27,2017_27_1,2017/18,7
2017,28,2017_28_1,2017/18,8
2017,29,2017_29_1,2017/18,9
2017,30,2017_30_1,2017/18,10
2017,31,2017_31_1,2017/18,11
2017,32,2017_32_1,2017/18,12
2017,33,2017_33_1,2017/18,13
2017,34,2017_34_1,2017/18,14
2017,35,2017_35_1,2017/18,15
2017,36,2017_36_1,2017/18,16
2017,37,2017_37_1,2017/18,17
2017,38,2017_38_1,2017/18,18
2017,39,2017_39_1,2017/18,19
2017,40,2017_40_1,2017/18,20
2017,41,2017_41_1,2017/18,21
2017,42,2017_42_1,2017/18,22
2017,43,2017_43_1,2017/18,23
2017,44,2017_44_1,2017/18,24
2017,45,2017_45_1,2017/18,25
2017,46,2017_46_1,2017/18,26
2017,47,2017_47_1,2017/18,27
2017,48,2017_48_1,2017/18,28
2017,49,2017_49_1,2017/18,29
2017,50,2017_50_1,2017/18,30
2017,51,2017_51_1,2017/18,31
2017,52,2017_52_1,2017/18,32
2018,1,2018_1_1,2017/18,33
2018,2,2018_2_1,2017/18,34
2018,3,2018_3_1,2017/18,35
2018,4,2018_4_1,2017/18,36
2018,5,2018_5_1,2017/18,37
2018,6,2018_6_1,2017/18,38
2018,7,2018_7_1,2017/18,39
2018,8,2018_8_1,2017/18,40
2018,9,2018_9_1,2017/18,41
2018,10,2018_10_1,2017/18,42
2018,11,2018_11_1,2017/18,43
2018,12,2018_12_1,2017/18,44
2018,13,2018_13_1,2017/18,45
2018,14,2018_14_1,2017/18,46
2018,15,2018_15_1,2017/18,47
2018,16,2018_16_1,2017/18,48
2018,17,2018_17_1,2017/18,49
2018,18,2018_18_1,2017/18,50
2018,19,2018_19_1,2017/18,51
2018,20,2018_20_1,2017/18,52
2018,21,2018_21_1,2018/19,1
2018,22,2018_22_1,2018/19,2
2018,23,2018_23_1,2018/19,3
2018,24,2018_24_1,2018/19,4
2018,25,2018_25_1,2018/19,5
2018,26,2018_26_1,2018/19,6
2018,27,2018_27_1,2018/19,7
2018,28,2018_28_1,2018/19,8
2018,29,2018_29_1,2018/19,9
2018,30,2018_30_1,2018/19,10
2018,31,2018_31_1,2018/19,11
2018,32,2018_32_1,2018/19,12
2018,33,2018_33_1,2018/19,13
2018,34,2018_34_1,2018/19,14
2018,35,2018_35_1,2018/19,15
2018,36,2018_36_1,2018/19,16
2018,37,2018_37_1,2018/19,17
2018,38,2018_38_1,2018/19,18
2018,39,2018_39_1,2018/19,19
2018,40,2018_40_1,2018/19,20
2018,41,2018_41_1,2018/19,21
2018,42,2018_42_1,2018/19,22
2018,43,2018_43_1,2018/19,23
2018,44,2018_44_1,2018/19,24
2018,45,2018_45_1,2018/19,25
2018,46,2018_46_1,2018/19,26
2018,47,2018_47_1,2018/19,27
2018,48,2018_48_1,2018/19,28
2018,49,2018_49_1,2018/19,29
2018,50,2018_50_1,2018/19,30
2018,51,2018_51_1,2018/19,31
2018,52,2018_52_1,2018/19,32
2019,1,2019_1_1,2018/19,33
2019,2,2019_2_1,2018/19,34
2019,3,2019_3_1,2018/19,35
2019,4,2019_4_1,2018/19,36
2019,5,2019_5_1,2018/19,37
2019,6,2019_6_1,2018/19,38
2019,7,2019_7_1,2018/19,39
2019,8,2019_8_1,2018/19,40
2019,9,2019_9_1,2018/19,41
2019,10,2019_10_1,2018/19,42
2019,11,2019_11_1,2018/19,43
2019,12,2019_12_1,2018/19,44
2019,13,2019_13_1,2018/19,45
2019,14,2019_14_1,2018/19,46
2019,15,2019_15_1,2018/19,47
2019,16,2019_16_1,2018/19,48
2019,17,2019_17_1,2018/19,49
2019,18,2019_18_1,2018/19,50
2019,19,2019_19_1,2018/19,51
2019,20,2019_20_1,2018/19,52
2019,21,2019_21_1,2019/20,1
2019,22,2019_22_1,2019/20,2
2019,23,2019_23_1,2019/20,3
2019,24,2019_24_1,2019/20,4
2019,25,,2019/20,5
2019,26,,2019/20,6
2019,27,,2019/20,7
2019,28,,2019/20,8
2019,29,,2019/20,9
2019,30,,2019/20,10
2019,31,,2019/20,11
2019,32,,2019/20,12
2019,33,,2019/20,13
2019,34,,2019/20,14
2019,35,,2019/20,15
2019,36,,2019/20,16
2019,37,,2019/20,17
2019,38,,2019/20,18
2019,39,,2019/20,19
2019,40,2019_40_1,2019/20,20
2019,41,2019_41_1,2019/20,21
2019,42,2019_42_1,2019/20,22
2019,43,2019_43_1,2019/20,23
2019,44,2019_44_1,2019/20,24
2019,45,2019_45_1,2019/20,25
2019,46,2019_46_1,2019/20,26
2019,47,2019_47_1,2019/20,27
2019,48,2019_48_1,2019/20,28
2019,49,2019_49_1,2019/20,29
2019,50,2019_50_1,2019/20,30
2019,51,2019_51_1,2019/20,31
2019,52,2019_52_1,2019/20,32
2020,1,2020_1_1,2019/20,33
2020,2,2020_2_1,2019/20,34
2020,3,2020_3_1,2019/20,35
2020,4,2020_4_1,2019/20,36
2020,5,2020_5_1,2019/20,37
2020,6,2020_6_1,2019/20,38
2020,7,2020_7_1,2019/20,39
2020,8,2020_8_1,2019/20,40
2020,9,2020_9_1,2019/20,41
2020,10,2020_10_1,2019/20,42
2020,11,2020_11_1,2019/20,43
2020,12,2020_12_1,2019/20,44
2020,13,2020_13_1,2019/20,45
2020,14,2020_14_1,2019/20,46
2020,15,,2019/20,47
2020,16,,2019/20,48
2020,17,,2019/20,49
2020,18,,2019/20,50
2020,19,,2019/20,51
2020,20,,2019/20,52
2020,21,,2020/21,1
2020,22,,2020/21,2
2020,23,,2020/21,3
2020,24,,2020/21,4
2020,25,,2020/21,5
2020,26,,2020/21,6
2020,27,,2020/21,7
2020,28,,2020/21,8
2020,29,,2020/21,9
2020,30,,2020/21,10
2020,31,,2020/21,11
2020,32,,2020/21,12
2020,33,,2020/21,13
2020,34,,2020/21,14
2020,35,,2020/21,15
2020,36,,2020/21,16
2020,37,,2020/21,17
2020,38,,2020/21,18
2020,39,,2020/21,19
2020,40,2020_40_1,2020/21,20
2020,41,2020_41_1,2020/21,21
2020,42,2020_42_1,2020/21,22
2020,43,2020_43_1,2020/21,23
2020,44,2020_44_1,2020/21,24
2020,45,2020_45_1,2020/21,25
2020,46,2020_46_1,2020/21,26
2020,47,2020_47_1,2020/21,27
2020,48,2020_48_1,2020/21,28
2020,49,2020_49_1,2020/21,29
2020,50,2020_50_1,2020/21,30
2020,51,2020_51_1,2020/21,31
2020,52,2020_52_1,2020/21,32
2021,1,2021_1_1,2020/21,33
2021,2,2021_2_1,2020/21,34
2021,3,2021_3_1,2020/21,35
2021,4,2021_4_1,2020/21,36
2021,5,2021_5_1,2020/21,37
2021,6,2021_6_1,2020/21,38
2021,7,2021_7_1,2020/21,39
2021,8,2021_8_1,2020/21,40
2021,9,2021_9_1,2020/21,41
2021,10,2021_10_1,2020/21,42
2021,11,2021_11_1,2020/21,43
2021,12,2021_12_1,2020/21,44
2021,13,2021_13_1,2020/21,45
2021,14,2021_14_1,2020/21,46
2021,15,2021_15_1,2020/21,47
2021,16,2021_16_1,2020/21,48
2021,17,2021_17_1,2020/21,49
2021,18,2021_18_1,2020/21,50
2021,19,2021_19_1,2020/21,51
2021,20,2021_20_1,2020/21,52
2021,21,2021_21_1,2021/22,1
2021,22,2021_22_1,2021/22,2
2021,23,2021_23_1,2021/22,3
2021,24,2021_24_1,2021/22,4
2021,25,2021_25_1,2021/22,5
2021,26,2021_26_1,2021/22,6
2021,27,2021_27_1,2021/22,7
2021,28,2021_28_1,2021/22,8
2021,29,2021_29_1,2021/22,9
2021,30,2021_30_1,2021/22,10
2021,31,2021_31_1,2021/22,11
2021,32,2021_32_1,2021/22,12
2021,33,2021_33_1,2021/22,13
2021,34,2021_34_1,2021/22,14
2021,35,2021_35_1,2021/22,15
2021,36,2021_36_1,2021/22,16
2021,37,2021_37_1,2021/22,17
2021,38,2021_38_1,2021/22,18
2021,39,2021_39_1,2021/22,19
2021,40,2021_40_1,2021/22,20
2021,41,2021_41_1,2021/22,21
2021,42,2021_42_1,2021/22,22
2021,43,2021_43_1,2021/22,23
2021,44,2021_44_1,2021/22,24
2021,45,2021_45_1,2021/22,25
2021,46,2021_46_1,2021/22,26
2021,47,2021_47_1,2021/22,27
2021,48,2021_48_1,2021/22,28
2021,49,2021_49_1,2021/22,29
2021,50,2021_50_1,2021/22,30
2021,51,2021_51_1,2021/22,31
2021,52,2021_52_1,2021/22,32
2022,1,2022_1_1,2021/22,33
2022,2,2022_2_1,2021/22,34
2022,3,2022_3_1,2021/22,35
2022,4,2022_4_1,2021/22,36
2022,5,2022_5_1,2021/22,37
2022,6,2022_6_1,2021/22,38
2022,7,2022_7_1,2021/22,39
2022,8,2022_8_1,2021/22,40
2022,9,2022_9_1,2021/22,41
2022,10,2022_10_1,2021/22,42
2022,11,2022_11_1,2021/22,43
2022,12,2022_12_1,2021/22,44
2022,13,2022_13_1,2021/22,45
2022,14,2022_14_1,2021/22,46
2022,15,2022_15_1,2021/22,47
2022,16,2022_16_1,2021/22,48
2022,17,2022_17_1,2021/22,49
2022,18,2022_18_1,2021/22,50
2022,19,2022_19_1,2021/22,51
2022,20,2022_20_1,2021/22,52
2022,21,2022_21_1,2022/23,1
2022,22,2022_22_1,2022/23,2
2022,23,2022_23_1,2022/23,3
2022,24,2022_24_1,2022/23,4
2022,25,2022_25_1,2022/23,5
2022,26,2022_26_1,2022/23,6
2022,27,2022_27_1,2022/23,7
2022,28,2022_28_1,2022/23,8
2022,29,2022_29_1,2022/23,9
2022,30,2022_30_1,2022/23,10
2022,31,2022_31_1,2022/23,11
2022,32,2022_32_1,2022/23,12
2022,33,2022_33_1,2022/23,13
2022,34,2022_34_1,2022/23,14
2022,35,2022_35_1,2022/23,15
2022,36,2022_36_1,2022/23,16
2022,37,2022_37_1,2022/23,17
2022,38,2022_38_1,2022/23,18
2022,39,2022_39_1,2022/23,19
2022,40,2022_40_1,2022/23,20
2022,41,2022_41_1,2022/23,21
2022,42,2022_42_1,2022/23,22
2022,43,2022_43_1,2022/23,23
2022,44,2022_44_1,2022/23,24
2022,45,2022_45_1,2022/23,25
2022,46,2022_46_1,2022/23,26
2022,47,2022_47_1,2022/23,27
2022,48,2022_48_1,2022/23,28
2022,49,2022_49_1,2022/23,29
2022,50,2022_50_1,2022/23,30
2022,51,2022_51_1,2022/23,31
2022,52,2022_52_1,2022/23,32
2023,1,2023_1_1,2022/23,33
2023,2,2023_2_1,2022/23,34
2023,3,2023_3_1,2022/23,35
2023,4,2023_4_1,2022/23,36
2023,5,2023_5_1,2022/23,37
2023,6,2023_6_1,2022/23,38
2023,7,2023_7_1,2022/23,39
2023,8,2023_8_1,2022/23,40
2023,9,2023_9_1,2022/23,41
2023,10,2023_10_1,2022/23,42
2023,11,2023_11_1,2022/23,43
2023,12,2023_12_1,2022/23,44
2023,13,2023_13_1,2022/23,45
2023,14,2023_14_1,2022/23,46
2023,15,2023_15_1,2022/23,47
2023,16,2023_16_1,2022/23,48
2023,17,2023_17_1,2022/23,49
2023,18,2023_18_1,2022/23,50
2023,19,2023_19_1,2022/23,51
2023,20,2023_20_1,2022/23,52
2023,21,2023_21_1,2023/24,1
2023,22,2023_22_1,2023/24,2
2023,23,2023_23_1,2023/24,3
2023,24,2023_24_1,2023/24,4
2023,25,2023_25_1,2023/24,5
2023,26,2023_26_1,2023/24,6
2023,27,2023_27_1,2023/24,7
2023,28,2023_28_1,2023/24,8
2023,29,2023_29_1,2023/24,9
2023,30,2023_30_1,2023/24,10
2023,31,2023_31_1,2023/24,11
2023,32,2023_32_1,2023/24,12
2023,33,2023_33_1,2023/24,13
2023,34,2023_34_1,2023/24,14
2023,35,2023_35_1,2023/24,15
2023,36,2023_36_1,2023/24,16
2023,37,2023_37_1,2023/24,17
2023,38,2023_38_1,2023/24,18
2023,39,2023_39_1,2023/24,19
2023,40,2023_40_1,2023/24,20
2023,41,2023_41_1,2023/24,21
2023,42,2023_42_1,2023/24,22
2023,43,2023_43_1,2023/24,23
2023,44,2023_44_1,2023/24,24
2023,45,2023_45_1,2023/24,25
2023,46,2023_46_1,2023/24,26
2023,47,2023_47_1,2023/24,27
2023,48,2023_48_1,2023/24,28
2023,49,2023_49_1,2023/24,29
2023,50,2023_50_1,2023/24,30
2023,51,2023_51_1,2023/24,31
2023,52,2023_52_1,2023/24,32