"","Disease","era","Country","Mean_peak_cal_week","Median_peak_cal_week","Mean_peak_season_week","Median_peak_season_week"
"1","Influenza","Post-pandemic","Australia",22.5,22.5,2.5,2.5
"2","Influenza","Pre-pandemic","Australia",32.6666666666667,35,12.6666666666667,15
"3","Influenza","Post-pandemic","Brazil",11,11,17,17
"4","RSV","Post-pandemic","Brazil",14.3333333333333,15,46.3333333333333,47
"5","Influenza","Pre-pandemic","Brazil",11.6666666666667,12,26.3333333333333,33
"6","RSV","Pre-pandemic","Brazil",9.66666666666667,13,41.6666666666667,45
"7","Influenza","Post-pandemic","England",47.25,49,27.25,29
"8","RSV","Post-pandemic","England",36.5,39,29.5,27.5
"9","Influenza","Pre-pandemic","England",16,5.5,35,35.5
"10","RSV","Pre-pandemic","England",48.6666666666667,48,28.6666666666667,28
"11","Influenza","Post-pandemic","France",38.3333333333333,52,35.6666666666667,32
"12","RSV","Post-pandemic","France",36.6666666666667,48,34,29
"13","Influenza","Pre-pandemic","France",6,6,38,38
"14","RSV","Pre-pandemic","France",52,52,32,32
"15","Influenza","Post-pandemic","T端rkiye",1.66666666666667,2,33.6666666666667,34
"16","RSV","Post-pandemic","T端rkiye",40.5,48.5,33.5,30
"17","Influenza","Pre-pandemic","T端rkiye",3,3,35,35
"18","RSV","Pre-pandemic","T端rkiye",5.33333333333333,6,37.3333333333333,38
"19","Influenza","Post-pandemic","US",38.6666666666667,48,36,32
"20","RSV","Post-pandemic","US",40.75,46.5,33.75,29
"21","Influenza","Pre-pandemic","US",6,6,38,38
"22","RSV","Pre-pandemic","US",1,1,33,33
